time,etkf_rmse,enkfn_rmse,enkfn_l1
0.0000,3.666096,3.666096,
0.0500,3.012684,3.144710,1.685866
0.1000,2.848106,3.009756,1.756462
0.1500,2.887044,3.663045,2.133189
0.2000,2.763673,3.570323,2.024048
0.2500,2.690798,3.661599,1.764554
0.3000,2.658331,3.447844,1.468242
0.3500,2.497240,2.932116,1.674972
0.4000,2.277771,2.387797,1.515522
0.4500,2.130487,2.124236,1.635417
0.5000,1.987594,2.173617,1.242825
0.5500,1.842697,2.230721,2.336927
0.6000,1.826652,2.257361,1.446911
0.6500,1.889456,2.175596,1.969173
0.7000,1.977923,2.243524,1.487965
0.7500,2.079481,2.940954,3.108269
0.8000,2.181199,3.128747,3.480868
0.8500,2.244621,2.988758,1.753656
0.9000,2.269813,2.824488,2.131677
0.9500,2.344247,2.843476,2.751267
1.0000,2.489695,2.558805,1.412807
1.0500,2.622714,2.492050,2.025376
1.1000,2.774745,2.540417,1.697124
1.1500,2.862218,2.596105,1.439118
1.2000,2.768504,2.969555,2.496405
1.2500,2.536888,3.064924,1.443712
1.3000,2.374128,3.318077,2.788472
1.3500,2.197401,3.772514,2.140605
1.4000,2.030518,3.156581,1.602393
1.4500,1.875819,2.887532,1.835200
1.5000,1.788070,3.014795,2.426580
1.5500,1.726979,2.925996,1.789127
1.6000,1.686106,3.076920,2.224276
1.6500,1.749622,2.559908,2.104003
1.7000,1.863626,2.673961,1.619375
1.7500,1.958773,2.509388,1.945696
1.8000,2.058079,3.033038,2.256849
1.8500,2.170734,2.803941,2.153539
1.9000,2.273925,2.692222,2.182341
1.9500,2.309020,2.261641,1.303175
2.0000,2.278277,1.809024,1.984628
2.0500,2.210226,2.173362,1.978767
2.1000,2.060102,2.384999,2.067305
2.1500,1.927302,2.226999,1.467861
2.2000,1.870048,1.999454,1.538570
2.2500,1.926644,1.812422,1.359311
2.3000,2.026706,1.933207,2.956396
2.3500,2.162685,2.104275,1.480204
2.4000,2.282545,1.846909,1.534751
2.4500,2.375570,1.665157,1.334403
2.5000,2.439049,1.666460,1.429003
2.5500,2.359739,1.528774,1.244504
2.6000,2.232399,1.488738,1.450904
2.6500,2.073192,1.650649,1.743675
2.7000,1.933556,1.525663,1.370433
2.7500,1.760084,1.500433,1.672828
2.8000,1.588923,1.491066,1.520975
2.8500,1.432955,1.329484,1.391974
2.9000,1.395238,1.275258,1.208841
2.9500,1.360095,1.113894,1.342393
3.0000,1.389955,1.120117,1.291137
3.0500,1.387009,1.052099,1.205344
3.1000,1.334907,1.067240,1.216664
3.1500,1.320390,1.099817,1.193907
3.2000,1.297318,0.947581,1.340340
3.2500,1.256889,0.922356,1.231244
3.3000,1.247237,1.009524,1.211827
3.3500,1.180594,0.978957,1.181702
3.4000,1.148354,0.964312,1.324690
3.4500,1.124911,0.931484,1.200402
3.5000,1.098652,0.934884,1.143200
3.5500,1.019418,0.979339,1.216122
3.6000,1.000051,1.065599,1.186545
3.6500,0.936220,1.012594,1.217526
3.7000,0.908985,0.919514,1.419556
3.7500,0.875147,0.997675,1.401868
3.8000,0.890309,0.955919,1.620018
3.8500,0.889079,1.061364,1.168195
3.9000,0.980052,1.072585,1.322295
3.9500,0.944430,1.027031,1.417431
4.0000,0.958966,1.034345,1.261703
4.0500,0.976216,0.975762,1.448267
4.1000,0.921902,0.918964,1.208301
4.1500,0.965567,0.963555,1.503765
4.2000,0.927877,0.952946,1.269494
4.2500,0.901097,1.055058,1.239107
4.3000,0.838764,0.969452,1.237472
4.3500,0.831684,0.927061,1.116069
4.4000,0.828239,0.898640,1.162576
4.4500,0.799130,0.865179,1.144818
4.5000,0.760539,0.801040,1.249392
4.5500,0.743857,0.705627,1.187155
4.6000,0.747480,0.667759,1.156740
4.6500,0.748307,0.681098,1.181934
4.7000,0.717240,0.686972,1.250673
4.7500,0.666834,0.637156,1.207649
4.8000,0.707361,0.679754,1.235481
4.8500,0.703744,0.670200,1.170861
4.9000,0.707020,0.652230,1.135975
4.9500,0.725144,0.644276,1.086089
5.0000,0.743235,0.614050,1.124201
5.0500,0.742963,0.578927,1.061538
5.1000,0.686540,0.500236,1.140425
5.1500,0.653924,0.483684,1.067580
5.2000,0.654804,0.424447,1.102616
5.2500,0.636308,0.448065,1.114818
5.3000,0.659843,0.425696,1.211653
5.3500,0.622021,0.446926,1.177716
5.4000,0.547311,0.391903,1.101518
5.4500,0.568844,0.382052,1.082673
5.5000,0.639003,0.445645,1.145744
5.5500,0.690480,0.428105,1.075146
5.6000,0.644497,0.428261,1.144254
5.6500,0.579661,0.448212,1.130588
5.7000,0.530044,0.433869,1.136191
5.7500,0.508047,0.329548,1.164248
5.8000,0.474659,0.381757,1.060294
5.8500,0.475766,0.413501,1.071792
5.9000,0.501270,0.420236,1.183796
5.9500,0.530101,0.491520,1.107251
6.0000,0.444627,0.300453,1.204677
6.0500,0.422879,0.308350,1.058455
6.1000,0.418595,0.328537,1.074243
6.1500,0.433361,0.356054,1.105830
6.2000,0.503892,0.411597,1.094493
6.2500,0.442443,0.357587,1.093873
6.3000,0.478088,0.387337,1.103094
6.3500,0.551680,0.437482,1.075034
6.4000,0.484276,0.357522,1.150441
6.4500,0.543063,0.433193,1.130342
6.5000,0.452459,0.372423,1.169790
6.5500,0.351233,0.309934,1.126088
6.6000,0.363010,0.319649,1.060918
6.6500,0.426173,0.403144,1.091735
6.7000,0.449723,0.450286,1.091503
6.7500,0.385964,0.373633,1.170425
6.8000,0.318519,0.339955,1.079954
6.8500,0.309861,0.435740,1.134699
6.9000,0.242991,0.339873,1.071865
6.9500,0.287257,0.414021,1.066510
7.0000,0.292562,0.349047,1.077780
7.0500,0.328233,0.390108,1.050671
7.1000,0.376054,0.389882,1.092810
7.1500,0.415089,0.478563,1.099603
7.2000,0.418545,0.409392,1.096708
7.2500,0.378944,0.381823,1.043771
7.3000,0.344085,0.354224,1.105924
7.3500,0.433334,0.448185,1.155599
7.4000,0.395709,0.416119,1.135480
7.4500,0.384970,0.383208,1.042482
7.5000,0.437373,0.435529,1.175969
7.5500,0.312343,0.295897,1.220624
7.6000,0.324339,0.337467,1.057851
7.6500,0.311278,0.325990,1.215488
7.7000,0.342700,0.337370,1.103256
7.7500,0.362122,0.331592,1.104532
7.8000,0.393491,0.377622,1.085913
7.8500,0.311305,0.315561,1.092016
7.9000,0.293858,0.340526,1.062323
7.9500,0.311556,0.330913,1.068823
8.0000,0.355834,0.374474,1.073147
8.0500,0.348690,0.396510,1.111994
8.1000,0.369149,0.396924,1.134671
8.1500,0.334931,0.325565,1.117198
8.2000,0.334939,0.335457,1.120043
8.2500,0.302093,0.309578,1.065151
8.3000,0.336573,0.302876,1.071119
8.3500,0.380305,0.338598,1.037982
8.4000,0.312535,0.285894,1.139966
8.4500,0.341422,0.289063,1.122522
8.5000,0.400701,0.406904,1.162197
8.5500,0.358985,0.318895,1.086324
8.6000,0.312039,0.274501,1.061825
8.6500,0.358315,0.360199,1.049044
8.7000,0.342377,0.391702,1.101389
8.7500,0.359635,0.401275,1.058571
8.8000,0.379911,0.372465,1.078812
8.8500,0.347686,0.285742,1.096985
8.9000,0.324759,0.303085,1.104396
8.9500,0.303109,0.287286,1.112963
9.0000,0.322980,0.301151,1.047384
9.0500,0.309016,0.324709,1.134631
9.1000,0.337449,0.311680,1.135547
9.1500,0.388611,0.324051,1.125181
9.2000,0.371382,0.315287,1.067355
9.2500,0.271593,0.239204,1.125746
9.3000,0.263209,0.254803,1.086942
9.3500,0.259741,0.223889,1.105686
9.4000,0.288100,0.214695,1.098954
9.4500,0.279916,0.229801,1.105872
9.5000,0.330091,0.286972,1.085908
9.5500,0.290520,0.256782,1.064946
9.6000,0.291349,0.278397,1.072442
9.6500,0.285186,0.247446,1.081633
9.7000,0.378930,0.332978,1.085832
9.7500,0.288901,0.266049,1.048625
9.8000,0.243795,0.222238,1.144393
9.8500,0.263087,0.216199,1.052000
9.9000,0.287533,0.272451,1.058242
9.9500,0.371680,0.350518,1.069797
10.0000,0.352132,0.336984,1.086787
10.0500,0.314018,0.302613,1.097987
10.1000,0.260721,0.257465,1.105292
10.1500,0.258591,0.250386,1.057247
10.2000,0.246397,0.213644,1.069425
10.2500,0.331438,0.289707,1.083627
10.3000,0.398517,0.362833,1.055894
10.3500,0.387489,0.322249,1.134656
10.4000,0.343920,0.310853,1.201110
10.4500,0.403477,0.362451,1.082971
10.5000,0.378010,0.342364,1.107058
10.5500,0.291819,0.240301,1.101942
10.6000,0.337463,0.298047,1.057275
10.6500,0.328109,0.279581,1.092343
10.7000,0.274404,0.256869,1.107520
10.7500,0.266789,0.248928,1.065273
10.8000,0.327729,0.317412,1.034771
10.8500,0.321278,0.303455,1.060882
10.9000,0.265824,0.236678,1.062961
10.9500,0.297616,0.250079,1.075460
11.0000,0.292641,0.236110,1.031019
11.0500,0.287945,0.212320,1.062445
11.1000,0.267384,0.242772,1.092553
11.1500,0.291589,0.288383,1.078113
11.2000,0.394327,0.378411,1.057989
11.2500,0.344026,0.339845,1.117365
11.3000,0.316015,0.301227,1.110315
11.3500,0.398484,0.411479,1.054822
11.4000,0.375795,0.445429,1.169779
11.4500,0.277541,0.336305,1.196437
11.5000,0.285895,0.355886,1.100013
11.5500,0.313410,0.343756,1.060549
11.6000,0.349339,0.368465,1.110300
11.6500,0.441766,0.418438,1.165462
11.7000,0.419340,0.414523,1.082374
11.7500,0.414780,0.374194,1.100028
11.8000,0.442002,0.445948,1.112207
11.8500,0.405236,0.427821,1.112157
11.9000,0.278861,0.275621,1.122811
11.9500,0.271798,0.280653,1.083795
12.0000,0.285149,0.281703,1.086792
12.0500,0.292730,0.302614,1.164007
12.1000,0.350474,0.370577,1.078497
12.1500,0.393150,0.407811,1.065493
12.2000,0.364832,0.380054,1.086121
12.2500,0.343470,0.326178,1.189577
12.3000,0.334601,0.363836,1.056466
12.3500,0.433554,0.467963,1.114029
12.4000,0.256401,0.281840,1.165076
12.4500,0.231899,0.236598,1.074922
12.5000,0.310817,0.365092,1.132941
12.5500,0.288090,0.350672,1.145106
12.6000,0.346197,0.351162,1.191644
12.6500,0.327444,0.375661,1.115947
12.7000,0.297987,0.352088,1.103312
12.7500,0.334887,0.395201,1.137205
12.8000,0.378792,0.422353,1.103353
12.8500,0.347292,0.362174,1.142455
12.9000,0.318883,0.326234,1.091049
12.9500,0.270751,0.268187,1.107618
13.0000,0.305886,0.291697,1.056142
13.0500,0.354269,0.322046,1.156784
13.1000,0.349582,0.381289,1.129205
13.1500,0.302254,0.325878,1.101943
13.2000,0.364102,0.380838,1.119491
13.2500,0.288176,0.321368,1.065142
13.3000,0.327561,0.343099,1.069195
13.3500,0.340515,0.317966,1.126662
13.4000,0.349050,0.282931,1.064807
13.4500,0.319418,0.281033,1.094610
13.5000,0.311724,0.276137,1.065695
13.5500,0.353328,0.347675,1.152400
13.6000,0.286525,0.256110,1.117719
13.6500,0.270352,0.263722,1.050779
13.7000,0.378151,0.349074,1.054500
13.7500,0.286598,0.240914,1.114302
13.8000,0.349111,0.269566,1.062055
13.8500,0.384921,0.316463,1.090808
13.9000,0.367422,0.279675,1.118867
13.9500,0.415032,0.354949,1.154761
14.0000,0.339916,0.282648,1.081859
14.0500,0.371794,0.314288,1.106327
14.1000,0.349483,0.304436,1.064733
14.1500,0.326510,0.300152,1.071465
14.2000,0.408989,0.322428,1.095663
14.2500,0.494232,0.432175,1.136561
14.3000,0.505782,0.429867,1.041498
14.3500,0.434758,0.407411,1.125056
14.4000,0.391316,0.344644,1.119855
14.4500,0.343636,0.352278,1.080010
14.5000,0.318672,0.342525,1.027516
14.5500,0.324281,0.322363,1.063052
14.6000,0.375364,0.328975,1.047687
